ID	SUMA	DOBLEEQ	DOBLEAND	ASIGAND	ASIG	PARENTIZDA	PARENTDCHA	LLAVEIZDA	LLAVEDCHA	PYC	COMA	FUNCTION	VAR	RETURN	IF	ELSE	INT	BOOLEAN	STRING	VOID	ENTERO	CADENA	OUTPUT	INPUT	$
d9	 	 	 	 	 	 	 	 	 	 	 	d8	d5	d12	d6	 	 	 	 	 	 	 	d10	d11	r3
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	a
d9	 	 	 	 	 	 	 	 	 	 	 	d8	d5	d12	d6	 	 	 	 	 	 	 	d10	d11	r3
d9	 	 	 	 	 	 	 	 	 	 	 	d8	d5	d12	d6	 	 	 	 	 	 	 	d10	d11	r3
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	d16	d17	d18	 	 	 	 	 	 
 	 	 	 	 	 	d19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r7	 	 	 	 	 	 	 	 	r7	 	 	r7	r7	r7	r7	 	 	 	 	 	 	 	r7	r7	r7
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	d16	d17	d18	d23	 	 	 	 	 
 	 	 	 	d25	d24	d26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
d32	 	 	 	 	 	d31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	d33	d34	 	 	 
d36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
d32	 	 	 	 	 	d31	 	 	 	r36	 	 	 	 	 	 	 	 	 	 	d33	d34	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r1
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r2
d39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
d32	 	 	 	 	 	d31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	d33	d34	 	 	 
d42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
r15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
d32	 	 	 	 	 	d31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	d33	d34	 	 	 
d32	 	 	 	 	 	d31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	d33	d34	 	 	 
d32	 	 	 	 	 	d31	r32	 	 	 	 	 	 	 	 	 	 	 	 	 	d33	d34	 	 	 
 	 	 	d48	 	 	 	 	 	 	d47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	d49	r38	 	 	 	r38	 	 	r38	r38	 	 	 	 	 	 	 	 	 	 	 	 	 	 
